img1_path,img2_path,label
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Eloy_Gutierrez\Eloy_Gutierrez_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Laura_Hernandez\Laura_Hernandez_0002.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Peter_Hillary\Peter_Hillary_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Peter_Hillary\Peter_Hillary_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Cabas\Cabas_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Lyudmila_Putin\Lyudmila_Putin_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Martin_Short\Martin_Short_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Marvan_Atapattu\Marvan_Atapattu_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Robbie_Williams\Robbie_Williams_0003.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Yusaku_Miyazato\Yusaku_Miyazato_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Kate_Winslet\Kate_Winslet_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Pio_Laghi\Pio_Laghi_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Yasser_Arafat\Yasser_Arafat_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Yasser_Arafat\Yasser_Arafat_0008.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Askar_Akayev\Askar_Akayev_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Paul_Bettany\Paul_Bettany_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\John_Franco\John_Franco_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Barry_Ford\Barry_Ford_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Pauley_Perrette\Pauley_Perrette_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Inam-ul-Haq\Inam-ul-Haq_0002.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\William_Hochul\William_Hochul_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\William_Hochul\William_Hochul_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Jacques_Rogge\Jacques_Rogge_0009.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Jacques_Rogge\Jacques_Rogge_0010.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Camilla_Parker_Bowles\Camilla_Parker_Bowles_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Eric_Hinske\Eric_Hinske_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Lord_Hutton\Lord_Hutton_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Lord_Hutton\Lord_Hutton_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Lee_Tae-sik\Lee_Tae-sik_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Slobodan_Milosevic\Slobodan_Milosevic_0003.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Jean-Claude_Trichet\Jean-Claude_Trichet_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Jean-Claude_Trichet\Jean-Claude_Trichet_0001.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Celso_Amorim\Celso_Amorim_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Celso_Amorim\Celso_Amorim_0001.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Manuel_Pellegrini\Manuel_Pellegrini_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Davis_Love_III\Davis_Love_III_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Raoul_Ruiz\Raoul_Ruiz_0003.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Nicola_Wells\Nicola_Wells_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Jimmy_Lee\Jimmy_Lee_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Alejandro_Lerner\Alejandro_Lerner_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\John_Ferguson\John_Ferguson_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Brad_Smith\Brad_Smith_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Gene_Hackman\Gene_Hackman_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Jeremy_Fogel\Jeremy_Fogel_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Shaukat_Aziz\Shaukat_Aziz_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Shaukat_Aziz\Shaukat_Aziz_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Lina_Krasnoroutskaya\Lina_Krasnoroutskaya_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Lina_Krasnoroutskaya\Lina_Krasnoroutskaya_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Charlotte_Church\Charlotte_Church_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Sophia_Loren\Sophia_Loren_0003.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Mikhail_Youzhny\Mikhail_Youzhny_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Mikhail_Youzhny\Mikhail_Youzhny_0001.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Hosni_Mubarak\Hosni_Mubarak_0003.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Hosni_Mubarak\Hosni_Mubarak_0004.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Vanessa_Incontrada\Vanessa_Incontrada_0004.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Vanessa_Incontrada\Vanessa_Incontrada_0003.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Thomas_Malchow\Thomas_Malchow_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Thomas_Malchow\Thomas_Malchow_0001.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Dan_Prinster\Dan_Prinster_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Millicent_Martin\Millicent_Martin_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Robert_Bonner\Robert_Bonner_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Robert_Bonner\Robert_Bonner_0003.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Earl_Fritts\Earl_Fritts_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Michael_Chertoff\Michael_Chertoff_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Marta_Dominguz\Marta_Dominguz_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Martin_Scorsese\Martin_Scorsese_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Derek_Lowe\Derek_Lowe_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Derek_Lowe\Derek_Lowe_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Rick_Romley\Rick_Romley_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Rick_Romley\Rick_Romley_0003.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Jose_Sarney\Jose_Sarney_0003.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Jose_Sarney\Jose_Sarney_0001.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Doug_Melvin\Doug_Melvin_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Doug_Melvin\Doug_Melvin_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Denzel_Washington\Denzel_Washington_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Denzel_Washington\Denzel_Washington_0004.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\James_Caan\James_Caan_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\James_Caan\James_Caan_0003.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\John_Travolta\John_Travolta_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\John_Travolta\John_Travolta_0006.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Daryl_Sabara\Daryl_Sabara_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Yoelbi_Quesada\Yoelbi_Quesada_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Eduardo_Duhalde\Eduardo_Duhalde_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Eduardo_Duhalde\Eduardo_Duhalde_0006.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Sam_Bith\Sam_Bith_0003.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Sam_Bith\Sam_Bith_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Sharon_Stone\Sharon_Stone_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Sharon_Stone\Sharon_Stone_0003.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Graeme_Lloyd\Graeme_Lloyd_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Mark_Leno\Mark_Leno_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Anthony_Hopkins\Anthony_Hopkins_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Anthony_Hopkins\Anthony_Hopkins_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Mohammad_Khatami\Mohammad_Khatami_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Betty_Williams\Betty_Williams_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Princess_Elisabeth\Princess_Elisabeth_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Vincent_Brooks\Vincent_Brooks_0002.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Francis_George\Francis_George_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Francis_George\Francis_George_0001.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Bill_Frist\Bill_Frist_0003.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Bill_Frist\Bill_Frist_0004.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Peter_Struck\Peter_Struck_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Peter_Struck\Peter_Struck_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Janet_Leigh\Janet_Leigh_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Al_Cardenas\Al_Cardenas_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\David_Welch\David_Welch_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Lee_Baca\Lee_Baca_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Quin_Snyder\Quin_Snyder_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Marlon_Devonish\Marlon_Devonish_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Thomas_OBrien\Thomas_OBrien_0005.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Ismail_Merchant\Ismail_Merchant_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Phil_McGraw\Phil_McGraw_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Audrey_Sauret\Audrey_Sauret_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Koichi_Tanaka\Koichi_Tanaka_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Shaul_Mofaz\Shaul_Mofaz_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Jeffrey_Pfeffer\Jeffrey_Pfeffer_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Qais_al-Kazali\Qais_al-Kazali_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Bill_Sizemore\Bill_Sizemore_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Bill_Sizemore\Bill_Sizemore_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Julie_Taymor\Julie_Taymor_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Julie_Taymor\Julie_Taymor_0001.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Kurt_Hellstrom\Kurt_Hellstrom_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Hootie_Johnson\Hootie_Johnson_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Eva_Dimas\Eva_Dimas_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Eva_Dimas\Eva_Dimas_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Charlie_Hunnam\Charlie_Hunnam_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Rick_Romley\Rick_Romley_0003.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Johnson_Panjaitan\Johnson_Panjaitan_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Johnson_Panjaitan\Johnson_Panjaitan_0001.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Julianne_Moore\Julianne_Moore_0012.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Mary_Lou_Markakis\Mary_Lou_Markakis_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Stephen_Daldry\Stephen_Daldry_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Stephen_Daldry\Stephen_Daldry_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Olivia_Newton-John\Olivia_Newton-John_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Olivia_Newton-John\Olivia_Newton-John_0001.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Mark_Warner\Mark_Warner_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Mark_Warner\Mark_Warner_0001.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Charles_Holzner\Charles_Holzner_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Billy_Donovan\Billy_Donovan_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Inga_Hall\Inga_Hall_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Fabian_Vargas\Fabian_Vargas_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Baburam_Bhattari\Baburam_Bhattari_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Lew_Rywin\Lew_Rywin_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Dolma_Tsering\Dolma_Tsering_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Dolma_Tsering\Dolma_Tsering_0001.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Frederick_Madden\Frederick_Madden_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Manijeh_Hekmat\Manijeh_Hekmat_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Lucio_Gutierrez\Lucio_Gutierrez_0009.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Lucio_Gutierrez\Lucio_Gutierrez_0007.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Catherine_Deneuve\Catherine_Deneuve_0003.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Catherine_Deneuve\Catherine_Deneuve_0005.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Richard_Shelby\Richard_Shelby_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Richard_Shelby\Richard_Shelby_0001.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Wang_Fei\Wang_Fei_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Mike_Sherman\Mike_Sherman_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Bill_Fennelly\Bill_Fennelly_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Vincent_Cianci_Jr\Vincent_Cianci_Jr_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Jim_Hahn\Jim_Hahn_0004.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Jim_Hahn\Jim_Hahn_0003.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Ashton_Kutcher\Ashton_Kutcher_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Catherine_Woodard\Catherine_Woodard_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\James_Wolfensohn\James_Wolfensohn_0004.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Chris_Neil\Chris_Neil_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Abbas_Kiarostami\Abbas_Kiarostami_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Bill_Walton\Bill_Walton_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Michael_Smith_Foster\Michael_Smith_Foster_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Camille_Colvin\Camille_Colvin_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Marieta_Chrousala\Marieta_Chrousala_0003.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Marieta_Chrousala\Marieta_Chrousala_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Pierre_Pettigrew\Pierre_Pettigrew_0003.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Pierre_Pettigrew\Pierre_Pettigrew_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Karen_Sharpe_Kramer\Karen_Sharpe_Kramer_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Tiago_Splitter\Tiago_Splitter_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Hans_Blix\Hans_Blix_0036.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Hans_Blix\Hans_Blix_0014.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Johnny_Depp\Johnny_Depp_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Johnny_Depp\Johnny_Depp_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Michael_Kostelnik\Michael_Kostelnik_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Michael_Kostelnik\Michael_Kostelnik_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Petro_Symonenko\Petro_Symonenko_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Petro_Symonenko\Petro_Symonenko_0001.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Steve_Peace\Steve_Peace_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Jerry_Jones\Jerry_Jones_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Morgan_Freeman\Morgan_Freeman_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Morgan_Freeman\Morgan_Freeman_0001.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\John_Allen_Muhammad\John_Allen_Muhammad_0006.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\John_Allen_Muhammad\John_Allen_Muhammad_0008.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Brad_Johnson\Brad_Johnson_0004.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Brad_Johnson\Brad_Johnson_0001.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Evan_Rachel_Wood\Evan_Rachel_Wood_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Jean-Rene_Fourtou\Jean-Rene_Fourtou_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Juan_Francisco_Palencia\Juan_Francisco_Palencia_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Chris_Bell\Chris_Bell_0002.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Adrian_McPherson\Adrian_McPherson_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Adrian_McPherson\Adrian_McPherson_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\David_Wells\David_Wells_0006.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\David_Wells\David_Wells_0004.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Paul_Kagame\Paul_Kagame_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Paul_Kagame\Paul_Kagame_0002.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Cari_Davis\Cari_Davis_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Dominick_Dunne\Dominick_Dunne_0001.npy,0
